33 , mapped-by-core , 2048 x 2048 , 0.112487 , 0.000874043 , 0.054477 , 0.167839
38 , mapped-by-core , 2048 x 2048 , 0.070286 , 8.4877e-05 , 0.176452 , 0.246824
38 , mapped-by-core , 2048 x 2048 , 0.056684 , 8.98838e-05 , 0.0653141 , 0.122088
38 , mapped-by-core , 2048 x 2048 , 0.0515721 , 8.39233e-05 , 0.037992 , 0.089649
39 , mapped-by-core , 2048 x 2048 , 0.208617 , 8.17776e-05 , 0.0979569 , 0.306659
39 , mapped-by-core , 2048 x 2048 , 0.0389299 , 9.01222e-05 , 0.033325 , 0.072346
39 , mapped-by-core , 2048 x 2048 , 0.0388269 , 8.10623e-05 , 0.0403771 , 0.0792851
39 , mapped-by-core , 2048 x 2048 , 0.0859289 , 9.20296e-05 , 0.0977612 , 0.183782
39 , mapped-by-core , 2048 x 2048 , 0.182754 , 8.2016e-05 , 0.0831189 , 0.265956
40 , mapped-by-core , 2048 x 2048 , 0.0639379 , 8.10623e-05 , 0.095917 , 0.159939
40 , mapped-by-core , 2048 x 2048 , 0.0697439 , 8.91685e-05 , 0.0433328 , 0.113166
40 , mapped-by-core , 2048 x 2048 , 0.042104 , 7.89165e-05 , 0.036948 , 0.0791309
40 , mapped-by-core , 2048 x 2048 , 0.045238 , 8.70228e-05 , 0.0581279 , 0.103453
40 , mapped-by-core , 2048 x 2048 , 0.042578 , 8.98838e-05 , 0.06352 , 0.106188
41 , mapped-by-core , 2048 x 2048 , 0.0582941 , 8.4877e-05 , 0.0485561 , 0.106936
41 , mapped-by-core , 2048 x 2048 , 0.062212 , 8.10623e-05 , 0.0663331 , 0.128628
41 , mapped-by-core , 2048 x 2048 , 0.113548 , 9.98974e-05 , 0.058974 , 0.172623
41 , mapped-by-core , 2048 x 2048 , 0.0793471 , 7.98702e-05 , 0.0645142 , 0.143942
41 , mapped-by-core , 2048 x 2048 , 0.0924351 , 6.69956e-05 , 0.0602589 , 0.152762
42 , mapped-by-core , 2048 x 2048 , 0.0778039 , 9.39369e-05 , 0.0972812 , 0.17518
42 , mapped-by-core , 2048 x 2048 , 0.0470591 , 8.08239e-05 , 0.055963 , 0.103103
42 , mapped-by-core , 2048 x 2048 , 0.0850708 , 7.9155e-05 , 0.056812 , 0.141965
42 , mapped-by-core , 2048 x 2048 , 0.112398 , 9.01222e-05 , 0.079201 , 0.191689
42 , mapped-by-core , 2048 x 2048 , 0.0688658 , 8.51154e-05 , 0.0767591 , 0.145711
43 , mapped-by-core , 2048 x 2048 , 0.121644 , 8.60691e-05 , 0.0975099 , 0.219242
43 , mapped-by-core , 2048 x 2048 , 0.0688138 , 6.22272e-05 , 0.075789 , 0.144666
43 , mapped-by-core , 2048 x 2048 , 0.073405 , 8.60691e-05 , 0.075773 , 0.149264
43 , mapped-by-core , 2048 x 2048 , 0.0772579 , 8.91685e-05 , 0.097662 , 0.175009
43 , mapped-by-core , 2048 x 2048 , 0.175136 , 6.60419e-05 , 0.136922 , 0.312124
44 , mapped-by-core , 2048 x 2048 , 0.193717 , 9.48906e-05 , 0.194568 , 0.388382
44 , mapped-by-core , 2048 x 2048 , 0.081496 , 8.70228e-05 , 0.0754609 , 0.157045
44 , mapped-by-core , 2048 x 2048 , 0.057802 , 9.29832e-05 , 0.065942 , 0.123838
44 , mapped-by-core , 2048 x 2048 , 0.058429 , 8.10623e-05 , 0.0752451 , 0.133756
44 , mapped-by-core , 2048 x 2048 , 0.0575891 , 8.89301e-05 , 0.0545678 , 0.112249
45 , mapped-by-core , 2048 x 2048 , 0.059854 , 8.39233e-05 , 0.0531631 , 0.113101
45 , mapped-by-core , 2048 x 2048 , 0.066484 , 8.70228e-05 , 0.125876 , 0.192448
45 , mapped-by-core , 2048 x 2048 , 0.0699639 , 9.01222e-05 , 0.056587 , 0.126642
45 , mapped-by-core , 2048 x 2048 , 0.157358 , 6.29425e-05 , 0.100782 , 0.258204
45 , mapped-by-core , 2048 x 2048 , 0.119329 , 8.79765e-05 , 0.129925 , 0.249343
46 , mapped-by-core , 2048 x 2048 , 0.059865 , 8.41618e-05 , 0.05529 , 0.115239
46 , mapped-by-core , 2048 x 2048 , 0.0727839 , 8.60691e-05 , 0.0527029 , 0.125573
46 , mapped-by-core , 2048 x 2048 , 0.074079 , 8.70228e-05 , 0.0624211 , 0.136588
46 , mapped-by-core , 2048 x 2048 , 0.0761809 , 9.29832e-05 , 0.066474 , 0.142749
46 , mapped-by-core , 2048 x 2048 , 0.139458 , 8.51154e-05 , 0.0588999 , 0.198445
47 , mapped-by-core , 2048 x 2048 , 0.127784 , 8.4877e-05 , 0.105066 , 0.232936
47 , mapped-by-core , 2048 x 2048 , 0.102313 , 8.29697e-05 , 0.0773768 , 0.179775
47 , mapped-by-core , 2048 x 2048 , 0.0901451 , 9.39369e-05 , 0.08408 , 0.174321
47 , mapped-by-core , 2048 x 2048 , 0.24071 , 8.79765e-05 , 0.16065 , 0.40145
47 , mapped-by-core , 2048 x 2048 , 0.086504 , 8.89301e-05 , 0.0762961 , 0.16289
48 , mapped-by-core , 2048 x 2048 , 0.0801878 , 8.91685e-05 , 0.074785 , 0.155062
48 , mapped-by-core , 2048 x 2048 , 0.123342 , 8.2016e-05 , 0.0998108 , 0.223236
48 , mapped-by-core , 2048 x 2048 , 0.077507 , 8.10623e-05 , 0.085392 , 0.16298
48 , mapped-by-core , 2048 x 2048 , 0.074338 , 0.000100136 , 0.0605609 , 0.134999
48 , mapped-by-core , 2048 x 2048 , 0.111536 , 8.01086e-05 , 0.128488 , 0.240106
49 , mapped-by-core , 2048 x 2048 , 0.0967741 , 8.29697e-05 , 0.146389 , 0.243247
49 , mapped-by-core , 2048 x 2048 , 0.091609 , 7.89165e-05 , 0.0787022 , 0.17039
49 , mapped-by-core , 2048 x 2048 , 0.124187 , 8.58307e-05 , 0.175074 , 0.299349
49 , mapped-by-core , 2048 x 2048 , 0.091131 , 8.39233e-05 , 0.0616491 , 0.152865
49 , mapped-by-core , 2048 x 2048 , 0.0830152 , 8.39233e-05 , 0.0775051 , 0.160607
50 , mapped-by-core , 2048 x 2048 , 0.079962 , 9.08375e-05 , 0.0785601 , 0.158613
50 , mapped-by-core , 2048 x 2048 , 0.231706 , 8.2016e-05 , 0.156579 , 0.388369
50 , mapped-by-core , 2048 x 2048 , 0.163465 , 9.01222e-05 , 0.116447 , 0.280003
50 , mapped-by-core , 2048 x 2048 , 0.0738239 , 8.10623e-05 , 0.058501 , 0.132408
50 , mapped-by-core , 2048 x 2048 , 0.251806 , 0.000454903 , 0.161729 , 0.41399
51 , mapped-by-core , 2048 x 2048 , 0.0864739 , 8.89301e-05 , 0.0774431 , 0.164007
51 , mapped-by-core , 2048 x 2048 , 0.0750799 , 8.70228e-05 , 0.0869992 , 0.162167
51 , mapped-by-core , 2048 x 2048 , 0.084949 , 6.60419e-05 , 0.093235 , 0.17825
51 , mapped-by-core , 2048 x 2048 , 0.0728989 , 9.10759e-05 , 0.075314 , 0.148304
51 , mapped-by-core , 2048 x 2048 , 0.0831921 , 8.2016e-05 , 0.083972 , 0.167246
52 , mapped-by-core , 2048 x 2048 , 0.103591 , 8.60691e-05 , 0.0982659 , 0.201944
52 , mapped-by-core , 2048 x 2048 , 0.09273 , 9.70364e-05 , 0.0863402 , 0.179169
52 , mapped-by-core , 2048 x 2048 , 0.078748 , 8.32081e-05 , 0.077198 , 0.15603
52 , mapped-by-core , 2048 x 2048 , 0.091743 , 8.51154e-05 , 0.0701389 , 0.161967
52 , mapped-by-core , 2048 x 2048 , 0.073245 , 9.20296e-05 , 0.0876329 , 0.16097
53 , mapped-by-core , 2048 x 2048 , 0.070519 , 8.79765e-05 , 0.0654249 , 0.136032
53 , mapped-by-core , 2048 x 2048 , 0.0939419 , 8.41618e-05 , 0.0763168 , 0.170343
53 , mapped-by-core , 2048 x 2048 , 0.111368 , 8.91685e-05 , 0.142145 , 0.253603
53 , mapped-by-core , 2048 x 2048 , 0.0682008 , 8.79765e-05 , 0.064801 , 0.13309
53 , mapped-by-core , 2048 x 2048 , 0.10012 , 8.70228e-05 , 0.072186 , 0.172393
54 , mapped-by-core , 2048 x 2048 , 0.0870202 , 8.39233e-05 , 0.114171 , 0.201276
54 , mapped-by-core , 2048 x 2048 , 0.0902991 , 8.60691e-05 , 0.089062 , 0.179448
54 , mapped-by-core , 2048 x 2048 , 0.118986 , 9.39369e-05 , 0.0903001 , 0.20938
54 , mapped-by-core , 2048 x 2048 , 0.080092 , 8.91685e-05 , 0.0659959 , 0.146179
54 , mapped-by-core , 2048 x 2048 , 0.0710151 , 8.98838e-05 , 0.077338 , 0.148443
55 , mapped-by-core , 2048 x 2048 , 0.22325 , 8.39233e-05 , 0.136476 , 0.35981
55 , mapped-by-core , 2048 x 2048 , 0.141248 , 8.2016e-05 , 0.0893841 , 0.230715
55 , mapped-by-core , 2048 x 2048 , 0.073622 , 8.51154e-05 , 0.068161 , 0.141868
55 , mapped-by-core , 2048 x 2048 , 0.073951 , 8.60691e-05 , 0.0761261 , 0.150166
55 , mapped-by-core , 2048 x 2048 , 0.0851152 , 9.58443e-05 , 0.070585 , 0.155796
56 , mapped-by-core , 2048 x 2048 , 0.107494 , 8.39233e-05 , 0.0973699 , 0.204949
56 , mapped-by-core , 2048 x 2048 , 0.138649 , 6.8903e-05 , 0.100884 , 0.239604
56 , mapped-by-core , 2048 x 2048 , 0.187768 , 8.41618e-05 , 0.166134 , 0.353986
56 , mapped-by-core , 2048 x 2048 , 0.11506 , 8.4877e-05 , 0.171732 , 0.286877
56 , mapped-by-core , 2048 x 2048 , 0.0858788 , 8.89301e-05 , 0.0953901 , 0.18136
57 , mapped-by-core , 2048 x 2048 , 0.0830169 , 9.01222e-05 , 0.097177 , 0.180286
57 , mapped-by-core , 2048 x 2048 , 0.221619 , 8.70228e-05 , 0.155705 , 0.377411
57 , mapped-by-core , 2048 x 2048 , 0.127454 , 8.60691e-05 , 0.0704808 , 0.198022
57 , mapped-by-core , 2048 x 2048 , 0.102801 , 9.10759e-05 , 0.0979199 , 0.200813
57 , mapped-by-core , 2048 x 2048 , 0.249104 , 9.39369e-05 , 0.100574 , 0.349773
58 , mapped-by-core , 2048 x 2048 , 0.172646 , 9.10759e-05 , 0.11863 , 0.291369
58 , mapped-by-core , 2048 x 2048 , 0.0884879 , 9.20296e-05 , 0.0863831 , 0.174964
58 , mapped-by-core , 2048 x 2048 , 0.115623 , 8.79765e-05 , 0.0848639 , 0.200575
58 , mapped-by-core , 2048 x 2048 , 0.119871 , 8.29697e-05 , 0.123895 , 0.243851
58 , mapped-by-core , 2048 x 2048 , 0.121232 , 8.51154e-05 , 0.0973089 , 0.218627
59 , mapped-by-core , 2048 x 2048 , 0.110519 , 9.10759e-05 , 0.0815749 , 0.192186
59 , mapped-by-core , 2048 x 2048 , 0.234607 , 8.70228e-05 , 0.119906 , 0.354601
59 , mapped-by-core , 2048 x 2048 , 0.096271 , 9.10759e-05 , 0.105288 , 0.201652
59 , mapped-by-core , 2048 x 2048 , 0.104251 , 9.29832e-05 , 0.124424 , 0.228768
59 , mapped-by-core , 2048 x 2048 , 0.108924 , 6.69956e-05 , 0.102592 , 0.211583
60 , mapped-by-core , 2048 x 2048 , 0.15351 , 9.10759e-05 , 0.245632 , 0.399235
60 , mapped-by-core , 2048 x 2048 , 0.104099 , 8.41618e-05 , 0.093689 , 0.197874
60 , mapped-by-core , 2048 x 2048 , 0.120086 , 8.79765e-05 , 0.0921099 , 0.212285
60 , mapped-by-core , 2048 x 2048 , 0.112315 , 8.98838e-05 , 0.0969319 , 0.209338
60 , mapped-by-core , 2048 x 2048 , 0.0938978 , 9.70364e-05 , 0.0971911 , 0.191186
61 , mapped-by-core , 2048 x 2048 , 0.13155 , 9.29832e-05 , 0.12376 , 0.255405
61 , mapped-by-core , 2048 x 2048 , 0.122429 , 9.98974e-05 , 0.0863142 , 0.208844
61 , mapped-by-core , 2048 x 2048 , 0.130264 , 6.50883e-05 , 0.13505 , 0.265379
61 , mapped-by-core , 2048 x 2048 , 0.281916 , 9.70364e-05 , 0.230381 , 0.512396
61 , mapped-by-core , 2048 x 2048 , 0.130388 , 8.58307e-05 , 0.116406 , 0.24688
62 , mapped-by-core , 2048 x 2048 , 0.0917659 , 8.70228e-05 , 0.083915 , 0.175769
62 , mapped-by-core , 2048 x 2048 , 0.167503 , 8.70228e-05 , 0.143795 , 0.311386
62 , mapped-by-core , 2048 x 2048 , 0.137329 , 8.89301e-05 , 0.243315 , 0.380736
62 , mapped-by-core , 2048 x 2048 , 0.233329 , 9.10759e-05 , 0.241843 , 0.475264
62 , mapped-by-core , 2048 x 2048 , 0.118891 , 6.91414e-05 , 0.0895128 , 0.208473
63 , mapped-by-core , 2048 x 2048 , 0.0920138 , 8.91685e-05 , 0.10564 , 0.197743
63 , mapped-by-core , 2048 x 2048 , 0.199218 , 8.51154e-05 , 0.237371 , 0.436674
63 , mapped-by-core , 2048 x 2048 , 0.133833 , 8.60691e-05 , 0.120461 , 0.254381
63 , mapped-by-core , 2048 x 2048 , 0.123045 , 0.0100999 , 0.137796 , 0.270942
63 , mapped-by-core , 2048 x 2048 , 0.316584 , 8.4877e-05 , 0.204569 , 0.52124
64 , mapped-by-core , 2048 x 2048 , 0.277651 , 8.70228e-05 , 0.200087 , 0.477825
64 , mapped-by-core , 2048 x 2048 , 0.146361 , 8.4877e-05 , 0.114378 , 0.260824
64 , mapped-by-core , 2048 x 2048 , 0.090461 , 9.01222e-05 , 0.104051 , 0.194603
64 , mapped-by-core , 2048 x 2048 , 0.112801 , 8.89301e-05 , 0.130765 , 0.243656
64 , mapped-by-core , 2048 x 2048 , 0.184384 , 8.89301e-05 , 0.216766 , 0.401239
